408 ms ; init
4432 ms ; SW1 ;has been pressed and the led UV has activate
16815 ms ; SW2 ;has been pressed
17591 ms ; SW2 ;has been pressed
18609 ms ; SW3 ;has been pressed
19204 ms ; SW4 ;has been pressed
19323 ms ; SW4 ;has been pressed
19725 ms ; SW3 ;has been pressed
20371 ms ; SW2 ;has been pressed
59707 ms ; SW2 ;has been pressed
59923 ms ; SW2 ;has been pressed
60075 ms ; SW2 ;has been pressed
96584 ms ; SW2 ;has been pressed and the led UV has activate
113356 ms ; SW4 ;has been pressed
113528 ms ; SW4 ;has been pressed
113782 ms ; SW3 ;has been pressed
114375 ms ; SW1 ;has been pressed
114619 ms ; SW1 ;has been pressed
178641 ms ; SW2 ;has been pressed
178915 ms ; SW2 ;has been pressed
189345 ms ; SW3 ;has been pressed and the led UV has activate
198633 ms ; SW1 ;has been pressed
198771 ms ; SW4 ;has been pressed
199058 ms ; SW4 ;has been pressed
199077 ms ; SW2 ;has been pressed
199218 ms ; SW4 ;has been pressed
199464 ms ; SW4 ;has been pressed
199519 ms ; SW1 ;has been pressed
199801 ms ; SW2 ;has been pressed
199920 ms ; SW4 ;has been pressed
200039 ms ; SW1 ;has been pressed
200171 ms ; SW2 ;has been pressed
200220 ms ; SW4 ;has been pressed
200387 ms ; SW2 ;has been pressed
200529 ms ; SW1 ;has been pressed
200649 ms ; SW4 ;has been pressed
200768 ms ; SW2 ;has been pressed
200887 ms ; SW1 ;has been pressed
201005 ms ; SW2 ;has been pressed
201123 ms ; SW4 ;has been pressed
201376 ms ; SW2 ;has been pressed
201404 ms ; SW4 ;has been pressed
201530 ms ; SW4 ;has been pressed
201652 ms ; SW2 ;has been pressed
201771 ms ; SW4 ;has been pressed
201949 ms ; SW2 ;has been pressed
305162 ms ; SW4 ;has been pressed
306368 ms ; SW4 ;has been pressed
306494 ms ; SW4 ;has been pressed
306914 ms ; SW4 ;has been pressed
307373 ms ; SW4 ;has been pressed
307491 ms ; SW4 ;has been pressed and the led UV has activate
307760 ms ; SW4 ;has been pressed
307879 ms ; SW4 ;has been pressed
328147 ms ; SW4 ;has been pressed
328380 ms ; SW4 ;has been pressed
329077 ms ; SW4 ;has been pressed
330067 ms ; SW4 ;has been pressed
330187 ms ; SW4 ;has been pressed
330306 ms ; SW4 ;has been pressed
330636 ms ; SW4 ;has been pressed
330754 ms ; SW4 ;has been pressed
330872 ms ; SW4 ;has been pressed
331061 ms ; SW4 ;has been pressed
331261 ms ; SW4 ;has been pressed
331438 ms ; SW4 ;has been pressed
331610 ms ; SW4 ;has been pressed
331785 ms ; SW4 ;has been pressed
332913 ms ; SW4 ;has been pressed
333071 ms ; SW4 ;has been pressed
398 ms ; init
3241 ms ; SW1 ;has been pressed and the led UV has activate
34504 ms ; SW1 ;has been pressed
34648 ms ; SW1 ;has been pressed
36483 ms ; SW1 ;has been pressed
36628 ms ; SW1 ;has been pressed
36794 ms ; SW1 ;has been pressed
37286 ms ; SW1 ;has been pressed
37823 ms ; SW3 ;has been pressed
38041 ms ; SW1 ;has been pressed
38163 ms ; SW4 ;has been pressed
38281 ms ; SW2 ;has been pressed
38405 ms ; SW4 ;has been pressed
38526 ms ; SW3 ;has been pressed
38746 ms ; SW4 ;has been pressed
38964 ms ; SW2 ;has been pressed
39091 ms ; SW4 ;has been pressed
39311 ms ; SW3 ;has been pressed
39534 ms ; SW2 ;has been pressed
39654 ms ; SW4 ;has been pressed
39774 ms ; SW3 ;has been pressed
39895 ms ; SW1 ;has been pressed
40014 ms ; SW4 ;has been pressed
40134 ms ; SW2 ;has been pressed
40256 ms ; SW4 ;has been pressed
40378 ms ; SW4 ;has been pressed
40498 ms ; SW1 ;has been pressed
40718 ms ; SW3 ;has been pressed
40839 ms ; SW2 ;has been pressed
40964 ms ; SW4 ;has been pressed
41184 ms ; SW1 ;has been pressed
41311 ms ; SW3 ;has been pressed
41430 ms ; SW2 ;has been pressed
41887 ms ; SW1 ;has been pressed
42404 ms ; SW1 ;has been pressed
42527 ms ; SW3 ;has been pressed
43048 ms ; SW2 ;has been pressed
43166 ms ; SW3 ;has been pressed
43831 ms ; SW3 ;has been pressed
47712 ms ; SW4 ;has been pressed
47952 ms ; SW4 ;has been pressed
48238 ms ; SW1 ;has been pressed
48559 ms ; SW2 ;has been pressed
48806 ms ; SW2 ;has been pressed
48932 ms ; SW4 ;has been pressed
49081 ms ; SW2 ;has been pressed
49250 ms ; SW4 ;has been pressed
49497 ms ; SW2 ;has been pressed
49623 ms ; SW4 ;has been pressed
49926 ms ; SW2 ;has been pressed
50215 ms ; SW1 ;has been pressed
50434 ms ; SW4 ;has been pressed
50625 ms ; SW3 ;has been pressed
50954 ms ; SW3 ;has been pressed
51183 ms ; SW4 ;has been pressed
51301 ms ; SW1 ;has been pressed
51423 ms ; SW4 ;has been pressed
51584 ms ; SW4 ;has been pressed
51758 ms ; SW1 ;has been pressed
51885 ms ; SW4 ;has been pressed
52003 ms ; SW1 ;has been pressed
52125 ms ; SW3 ;has been pressed
52244 ms ; SW4 ;has been pressed
52375 ms ; SW3 ;has been pressed
52506 ms ; SW1 ;has been pressed
52625 ms ; SW3 ;has been pressed
52755 ms ; SW1 ;has been pressed
52873 ms ; SW3 ;has been pressed
53088 ms ; SW4 ;has been pressed
53312 ms ; SW1 ;has been pressed
53483 ms ; SW2 ;has been pressed
53698 ms ; SW1 ;has been pressed
53864 ms ; SW4 ;has been pressed
54082 ms ; SW2 ;has been pressed
54201 ms ; SW2 ;has been pressed
54324 ms ; SW4 ;has been pressed
54628 ms ; SW4 ;has been pressed
56983 ms ; SW3 ;has been pressed
57158 ms ; SW3 ;has been pressed
57377 ms ; SW4 ;has been pressed
62885 ms ; SW3 ;has been pressed
63130 ms ; SW2 ;has been pressed
63355 ms ; SW4 ;has been pressed
97389 ms ; SW2 ;has been pressed and the led UV has activate
47954247 ms ; SW3 ;has been pressed and the led UV has activate
50140559 ms ; SW2 a été pressé
50141083 ms ; SW3 a été pressé
50143564 ms ; SW1 a été pressé
50215909 ms ; SW1 a été pressé
50216128 ms ; SW4 ;has been pressed and the led UV has activate
50216487 ms ; SW1 ;has been pressed
50216706 ms ; SW3 ;has been pressed
50216955 ms ; SW4 ;has been pressed
50217074 ms ; SW4 ;has been pressed
50226230 ms ; SW2 ;has been pressed
50244289 ms ; SW1 ;has been pressed
50244696 ms ; SW4 ;has been pressed
50245032 ms ; SW2 ;has been pressed
50245451 ms ; SW3 ;has been pressed
50246853 ms ; SW1 ;has been pressed
50247185 ms ; SW3 ;has been pressed
50247670 ms ; SW4 ;has been pressed
50247833 ms ; SW2 ;has been pressed
50248270 ms ; SW1 ;has been pressed
50248489 ms ; SW3 ;has been pressed
50248608 ms ; SW1 ;has been pressed
50248999 ms ; SW2 ;has been pressed
50249118 ms ; SW3 ;has been pressed
50249355 ms ; SW1 ;has been pressed
50249875 ms ; SW3 ;has been pressed
50249994 ms ; SW2 ;has been pressed
50250344 ms ; SW1 ;has been pressed
50250783 ms ; SW2 ;has been pressed
50251016 ms ; SW3 ;has been pressed
50251134 ms ; SW1 ;has been pressed
50251443 ms ; SW4 ;has been pressed
50251662 ms ; SW2 ;has been pressed
50251931 ms ; SW3 ;has been pressed
50252329 ms ; SW4 ;has been pressed
50252699 ms ; SW4 ;has been pressed
50262228 ms ; SW1 ;has been pressed
50265784 ms ; SW1 ;has been pressed
50321251 ms ; SW1 ;has been pressed and the led UV has activate
50386128 ms ; SW1 ;has been pressed
50386366 ms ; SW1 ;has been pressed
50386502 ms ; SW1 ;has been pressed
50386777 ms ; SW2 ;has been pressed
50387101 ms ; SW2 ;has been pressed
50387663 ms ; SW3 ;has been pressed
50387884 ms ; SW3 ;has been pressed
50392092 ms ; SW4 ;has been pressed
50404485 ms ; SW1 ;has been pressed
50404684 ms ; SW1 ;has been pressed
50404903 ms ; SW1 ;has been pressed
50405954 ms ; SW1 ;has been pressed
50406144 ms ; SW1 ;has been pressed
50406456 ms ; SW1 ;has been pressed
50406596 ms ; SW1 ;has been pressed
50408420 ms ; SW2 ;has been pressed
50408655 ms ; SW2 ;has been pressed
50408870 ms ; SW2 ;has been pressed
50409079 ms ; SW2 ;has been pressed
50409314 ms ; SW2 ;has been pressed
50409566 ms ; SW2 ;has been pressed
50409795 ms ; SW2 ;has been pressed
50410014 ms ; SW2 ;has been pressed
50412348 ms ; SW2 ;has been pressed and the led UV has activate
50413343 ms ; SW2 ;has been pressed
50413671 ms ; SW2 ;has been pressed
50414120 ms ; SW2 ;has been pressed
50416176 ms ; SW2 ;has been pressed
50416374 ms ; SW2 ;has been pressed
50416583 ms ; SW2 ;has been pressed
50416798 ms ; SW2 ;has been pressed
50417001 ms ; SW2 ;has been pressed
50417120 ms ; SW1 ;has been pressed
50417408 ms ; SW1 ;has been pressed
50417907 ms ; SW1 ;has been pressed
50418703 ms ; SW1 ;has been pressed
50418948 ms ; SW1 ;has been pressed
50419203 ms ; SW1 ;has been pressed
50419434 ms ; SW1 ;has been pressed
50420422 ms ; SW2 ;has been pressed
50422321 ms ; SW3 ;has been pressed
50422989 ms ; SW3 ;has been pressed
50423240 ms ; SW3 ;has been pressed
50423657 ms ; SW3 ;has been pressed
50424120 ms ; SW3 ;has been pressed
50424378 ms ; SW3 ;has been pressed
50428218 ms ; SW2 ;has been pressed
50428792 ms ; SW2 ;has been pressed
50429018 ms ; SW2 ;has been pressed
50429227 ms ; SW2 ;has been pressed
50429418 ms ; SW2 ;has been pressed
50429617 ms ; SW2 ;has been pressed
50429799 ms ; SW2 ;has been pressed
50430004 ms ; SW2 ;has been pressed
50464980 ms ; SW1 ;has been pressed
50465770 ms ; SW1 ;has been pressed
50469357 ms ; SW3 ;has been pressed
50472181 ms ; SW2 ;has been pressed
50473552 ms ; SW4 ;has been pressed
50473872 ms ; SW1 ;has been pressed
50474314 ms ; SW4 ;has been pressed
50474537 ms ; SW2 ;has been pressed
50474856 ms ; SW3 ;has been pressed
50475390 ms ; SW3 ;has been pressed
50475664 ms ; SW3 ;has been pressed
50478981 ms ; SW1 ;has been pressed
50481600 ms ; SW1 ;has been pressed
50483095 ms ; SW1 ;has been pressed
50486902 ms ; SW2 ;has been pressed
50488633 ms ; SW1 ;has been pressed
50489519 ms ; SW2 ;has been pressed
50490614 ms ; SW3 ;has been pressed
50491315 ms ; SW4 ;has been pressed
50499804 ms ; SW2 ;has been pressed
50500006 ms ; SW2 ;has been pressed
50500193 ms ; SW2 ;has been pressed
50500368 ms ; SW2 ;has been pressed
50500545 ms ; SW2 ;has been pressed
50500719 ms ; SW2 ;has been pressed
50500911 ms ; SW2 ;has been pressed
50501106 ms ; SW2 ;has been pressed
50501302 ms ; SW2 ;has been pressed
50501535 ms ; SW2 ;has been pressed
50501743 ms ; SW2 ;has been pressed
50501913 ms ; SW2 ;has been pressed
50502100 ms ; SW2 ;has been pressed
50502300 ms ; SW2 ;has been pressed
50502735 ms ; SW2 a été pressé
50502963 ms ; SW2 a été pressé
50503126 ms ; SW2 a été pressé
50503341 ms ; SW2 a été pressé
50503781 ms ; SW2 a été pressé
