258 ms ; Init
323 ms ; Button pressed (no action triggered)
43646 ms ; Button pressed - Motor activated
47758 ms ; Motor stopped - Micro switch triggered
67767 ms ; Button pressed (no action triggered)
68042 ms ; Button pressed (no action triggered)
68174 ms ; Button pressed (no action triggered)
68629 ms ; Button pressed (no action triggered)
69208 ms ; Button pressed (no action triggered)
69704 ms ; Button pressed (no action triggered)
70178 ms ; Button pressed (no action triggered)
70621 ms ; Button pressed (no action triggered)
70994 ms ; Button pressed (no action triggered)
71464 ms ; Button pressed (no action triggered)
71863 ms ; Button pressed (no action triggered)
72863 ms ; Button pressed (no action triggered)
73236 ms ; Button pressed (no action triggered)
73595 ms ; Button pressed (no action triggered)
73942 ms ; Button pressed (no action triggered)
74274 ms ; Button pressed (no action triggered)
74624 ms ; Button pressed (no action triggered)
74931 ms ; Button pressed (no action triggered)
75262 ms ; Button pressed (no action triggered)
75612 ms ; Button pressed (no action triggered)
75987 ms ; Button pressed (no action triggered)
191 ms ; Init
257 ms ; Button pressed (no action triggered)
193 ms ; Init
3430796 ms ; Button pressed - Motor activated
3434963 ms ; Motor stopped - Micro switch triggered
3449845 ms ; Button pressed (no action triggered)
3457803 ms ; Button pressed (no action triggered)
3466294 ms ; Button pressed - Motor activated
3468335 ms ; Button pressed (while motor running)
3470400 ms ; Motor stopped - Micro switch triggered
3493640 ms ; Button pressed (no action triggered)
3497364 ms ; Button pressed (no action triggered)
3498599 ms ; Button pressed (no action triggered)
3499706 ms ; Button pressed (no action triggered)
3514173 ms ; Button pressed - Motor activated
3515468 ms ; Button pressed (while motor running)
3515805 ms ; Button pressed (while motor running)
3516034 ms ; Button pressed (while motor running)
3518329 ms ; Motor stopped - Micro switch triggered
3518730 ms ; Button pressed (no action triggered)
3519272 ms ; Button pressed (no action triggered)
3519610 ms ; Button pressed (no action triggered)
3519922 ms ; Button pressed (no action triggered)
3582841 ms ; Button pressed - Motor activated
3584585 ms ; Button pressed (while motor running)
3586913 ms ; Motor stopped - Micro switch triggered
3586969 ms ; Button pressed (no action triggered)
3588407 ms ; Button pressed (no action triggered)
3588688 ms ; Button pressed (no action triggered)
3589182 ms ; Button pressed (no action triggered)
3594749 ms ; Button pressed (no action triggered)
3596383 ms ; Button pressed (no action triggered)
3596984 ms ; Button pressed (no action triggered)
3597765 ms ; Button pressed (no action triggered)
3633853 ms ; Button pressed - Motor activated
3636722 ms ; Button pressed (while motor running)
3638010 ms ; Motor stopped - Micro switch triggered
3639842 ms ; Button pressed (no action triggered)
3640542 ms ; Button pressed (no action triggered)
3645657 ms ; Button pressed (no action triggered)
3646242 ms ; Button pressed (no action triggered)
3710696 ms ; Button pressed - Motor activated
3714742 ms ; Motor stopped - Micro switch triggered
3719084 ms ; Button pressed (no action triggered)
3719645 ms ; Button pressed (no action triggered)
3749703 ms ; Button pressed - Motor activated
3750768 ms ; Button pressed (while motor running)
3751214 ms ; Button pressed (while motor running)
3753788 ms ; Motor stopped - Micro switch triggered
3774374 ms ; Button pressed (no action triggered)
3775632 ms ; Button pressed (no action triggered)
3800243 ms ; Button pressed - Motor activated
3802284 ms ; Button pressed (while motor running)
3802820 ms ; Button pressed (while motor running)
3804299 ms ; Motor stopped - Micro switch triggered
3804719 ms ; Button pressed (no action triggered)
3805212 ms ; Button pressed (no action triggered)
3807648 ms ; Button pressed (no action triggered)
3808293 ms ; Button pressed (no action triggered)
