415 ms ; init
2659454 ms ; SW1 ;has been pressed and the led UV has activate
2710089 ms ; SW1 ;has been pressed
2710635 ms ; SW2 ;has been pressed
2710990 ms ; SW2 ;has been pressed
2711785 ms ; SW3 ;has been pressed
2712348 ms ; SW4 ;has been pressed
2932176 ms ; SW2 ;has been pressed and the led UV has activate
2932503 ms ; SW2 ;has been pressed
2933071 ms ; SW2 ;has been pressed
3045383 ms ; SW3 ;has been pressed and the led UV has activate
3139190 ms ; SW4 ;has been pressed and the led UV has activate
3250187 ms ; SW2 ;has been pressed
3250520 ms ; SW1 ;has been pressed and the led UV has activate
4319820 ms ; SW1 ;has been pressed
4322252 ms ; SW2 ;has been pressed and the led UV has activate
6339602 ms ; SW2 ;has been pressed
6339730 ms ; SW2 ;has been pressed
6345437 ms ; SW1 ;has been pressed
6346867 ms ; SW2 ;has been pressed
6347305 ms ; SW2 ;has been pressed
6349426 ms ; SW3 ;has been pressed and the led UV has activate
6356176 ms ; SW4 ;has been pressed
9990220 ms ; SW1 ;has been pressed
9991932 ms ; SW2 ;has been pressed
9992111 ms ; SW2 ;has been pressed
9992622 ms ; SW1 ;has been pressed
9992810 ms ; SW1 ;has been pressed
9992977 ms ; SW1 ;has been pressed
9992995 ms ; SW4 ;has been pressed and the led UV has activate
9994156 ms ; SW3 ;has been pressed
9996995 ms ; SW2 ;has been pressed
9997759 ms ; SW3 ;has been pressed
10000034 ms ; SW3 ;has been pressed
10000273 ms ; SW3 ;has been pressed
10000292 ms ; SW4 ;has been pressed
10000473 ms ; SW3 ;has been pressed
10000666 ms ; SW3 ;has been pressed
10000808 ms ; SW4 ;has been pressed
10000927 ms ; SW3 ;has been pressed
10001125 ms ; SW4 ;has been pressed
10001321 ms ; SW4 ;has been pressed
10001541 ms ; SW4 ;has been pressed
10001690 ms ; SW4 ;has been pressed
10001842 ms ; SW4 ;has been pressed
10002576 ms ; SW2 ;has been pressed
10004154 ms ; SW1 ;has been pressed
10006950 ms ; SW1 ;has been pressed
10006970 ms ; SW2 ;has been pressed
10012370 ms ; SW4 ;has been pressed
10027930 ms ; SW4 ;has been pressed
10034780 ms ; SW4 ;has been pressed
10044710 ms ; SW4 ;has been pressed
10046565 ms ; SW4 ;has been pressed
10050015 ms ; SW4 ;has been pressed
10052538 ms ; SW1 ;has been pressed
18000442 ms ; 5 hours have passed
397 ms ; init
10794714 ms ; SW1 ;has been pressed and the led UV has activate
11633848 ms ; SW2 ;has been pressed and the led UV has activate
11634068 ms ; SW2 ;has been pressed
11634531 ms ; SW2 ;has been pressed
11636408 ms ; SW2 ;has been pressed
11636852 ms ; SW2 ;has been pressed
11637201 ms ; SW2 ;has been pressed
11637569 ms ; SW2 ;has been pressed
11637958 ms ; SW2 ;has been pressed
11638114 ms ; SW2 ;has been pressed
11640092 ms ; SW2 ;has been pressed
11641278 ms ; SW2 ;has been pressed
11642427 ms ; SW2 ;has been pressed
11642572 ms ; SW2 ;has been pressed
11644715 ms ; SW2 ;has been pressed
11646454 ms ; SW3 ;has been pressed
11646761 ms ; SW4 ;has been pressed
11647218 ms ; SW2 ;has been pressed
11647405 ms ; SW2 ;has been pressed
11647683 ms ; SW1 ;has been pressed
12702105 ms ; SW3 ;has been pressed and the led UV has activate
12719712 ms ; SW2 ;has been pressed
12722217 ms ; SW3 ;has been pressed
12722689 ms ; SW4 ;has been pressed
12722964 ms ; SW4 ;has been pressed
12723249 ms ; SW4 ;has been pressed
12725163 ms ; SW3 ;has been pressed
