414 ms ; init
249 ms ; init
58851879 ms ; SW1 ;has been pressed and the led UV has activate
62749175 ms ; SW3 ;has been pressed
63167027 ms ; SW2 ;has been pressed and the led UV has activate
63167214 ms ; SW1 ;has been pressed
63167702 ms ; SW1 ;has been pressed
63167973 ms ; SW4 ;has been pressed
63168092 ms ; SW4 ;has been pressed
63171248 ms ; SW4 ;has been pressed
63171366 ms ; SW2 ;has been pressed
63171495 ms ; SW4 ;has been pressed
63171614 ms ; SW4 ;has been pressed
63172157 ms ; SW2 ;has been pressed
63172662 ms ; SW3 ;has been pressed
63174121 ms ; SW4 ;has been pressed
63174852 ms ; SW4 ;has been pressed
63175092 ms ; SW4 ;has been pressed
63175405 ms ; SW4 ;has been pressed
63175711 ms ; SW4 ;has been pressed
63175985 ms ; SW4 ;has been pressed
63176434 ms ; SW3 ;has been pressed
63176696 ms ; SW3 ;has been pressed
63177389 ms ; SW2 ;has been pressed
63177677 ms ; SW2 ;has been pressed
63178216 ms ; SW1 ;has been pressed
63178474 ms ; SW1 ;has been pressed
63234415 ms ; SW2 ;has been pressed
63234636 ms ; SW4 ;has been pressed
63234906 ms ; SW4 ;has been pressed
63234968 ms ; SW1 ;has been pressed
63235442 ms ; SW2 ;has been pressed
63235472 ms ; SW3 ;has been pressed
63254360 ms ; SW4 ;has been pressed
63254616 ms ; SW2 ;has been pressed
63254634 ms ; SW4 ;has been pressed
63255535 ms ; SW3 ;has been pressed
63256103 ms ; SW1 ;has been pressed
63260246 ms ; SW2 ;has been pressed
63261825 ms ; SW1 ;has been pressed
63282705 ms ; SW3 ;has been pressed and the led UV has activate
63434789 ms ; SW1 ;has been pressed
63435700 ms ; SW2 ;has been pressed
63436408 ms ; SW3 ;has been pressed
63436949 ms ; SW4 ;has been pressed and the led UV has activate
63437316 ms ; SW3 ;has been pressed
63438031 ms ; SW4 ;has been pressed
63438534 ms ; SW3 ;has been pressed
63438959 ms ; SW2 ;has been pressed
63439154 ms ; SW3 ;has been pressed
63439357 ms ; SW1 ;has been pressed
63439676 ms ; SW1 ;has been pressed
63439933 ms ; SW1 ;has been pressed
63440183 ms ; SW1 ;has been pressed
63440734 ms ; SW1 ;has been pressed
63441038 ms ; SW1 ;has been pressed
63441056 ms ; SW4 ;has been pressed
63441275 ms ; SW1 ;has been pressed
63441531 ms ; SW3 ;has been pressed
63443134 ms ; SW2 ;has been pressed
63443163 ms ; SW1 ;has been pressed
63443581 ms ; SW1 ;has been pressed
63443747 ms ; SW1 ;has been pressed
63443972 ms ; SW1 ;has been pressed
63443990 ms ; SW2 ;has been pressed
63444366 ms ; SW3 ;has been pressed
63445049 ms ; SW4 ;has been pressed
63448428 ms ; SW3 ;has been pressed
63466537 ms ; SW4 ;has been pressed
63466659 ms ; SW4 ;has been pressed
63477922 ms ; SW4 ;has been pressed
63478041 ms ; SW4 ;has been pressed
63502017 ms ; SW4 ;has been pressed
63502136 ms ; SW4 ;has been pressed
63508370 ms ; SW3 ;has been pressed
63508564 ms ; SW3 ;has been pressed
63508780 ms ; SW3 ;has been pressed
63508964 ms ; SW3 ;has been pressed
63509173 ms ; SW1 ;has been pressed
63510265 ms ; SW3 ;has been pressed
63511144 ms ; SW2 ;has been pressed
63511296 ms ; SW1 ;has been pressed
63514270 ms ; SW1 ;has been pressed
63514703 ms ; SW4 ;has been pressed
63514822 ms ; SW4 ;has been pressed
63515218 ms ; SW3 ;has been pressed
63515594 ms ; SW2 ;has been pressed
63515812 ms ; SW1 ;has been pressed
63515953 ms ; SW4 ;has been pressed
63516071 ms ; SW4 ;has been pressed
63516090 ms ; SW3 ;has been pressed
63516338 ms ; SW4 ;has been pressed
63516613 ms ; SW4 ;has been pressed
63516984 ms ; SW4 ;has been pressed
63517189 ms ; SW4 ;has been pressed
63517717 ms ; SW3 ;has been pressed
63518077 ms ; SW4 ;has been pressed
63518196 ms ; SW4 ;has been pressed
63518401 ms ; SW4 ;has been pressed
63518635 ms ; SW4 ;has been pressed
63518898 ms ; SW3 ;has been pressed
63519167 ms ; SW4 ;has been pressed
63519852 ms ; SW4 ;has been pressed
63520221 ms ; SW3 ;has been pressed
63576563 ms ; SW2 ;has been pressed
63576816 ms ; SW2 ;has been pressed
63577022 ms ; SW2 ;has been pressed
63577731 ms ; SW1 ;has been pressed and the led UV has activate
63577959 ms ; SW1 ;has been pressed
63578114 ms ; SW1 ;has been pressed
63578313 ms ; SW1 ;has been pressed
63578444 ms ; SW1 ;has been pressed
63578568 ms ; SW2 ;has been pressed
63578855 ms ; SW1 ;has been pressed
63578928 ms ; SW2 ;has been pressed
63579127 ms ; SW1 ;has been pressed
63579273 ms ; SW1 ;has been pressed
63579414 ms ; SW1 ;has been pressed
63579659 ms ; SW2 ;has been pressed
63579850 ms ; SW3 ;has been pressed
63580046 ms ; SW3 ;has been pressed
63580294 ms ; SW4 ;has been pressed
63580537 ms ; SW4 ;has been pressed
63580729 ms ; SW4 ;has been pressed
63580985 ms ; SW4 ;has been pressed
63581234 ms ; SW3 ;has been pressed
63581306 ms ; SW4 ;has been pressed
63583406 ms ; SW4 ;has been pressed
63583559 ms ; SW4 ;has been pressed
63583747 ms ; SW4 ;has been pressed
63584944 ms ; SW4 ;has been pressed
63585067 ms ; SW4 ;has been pressed
63585086 ms ; SW1 ;has been pressed
63585104 ms ; SW2 ;has been pressed
63585123 ms ; SW3 ;has been pressed
63610364 ms ; SW2 ;has been pressed
63610757 ms ; SW1 ;has been pressed
63610919 ms ; SW4 ;has been pressed
63611316 ms ; SW3 ;has been pressed
63655605 ms ; SW2 ;has been pressed
63655726 ms ; SW3 ;has been pressed
63655964 ms ; SW2 ;has been pressed
63656377 ms ; SW4 ;has been pressed
63656744 ms ; SW4 ;has been pressed
63656764 ms ; SW3 ;has been pressed
63657329 ms ; SW4 ;has been pressed
63657448 ms ; SW4 ;has been pressed
63657466 ms ; SW3 ;has been pressed
63723853 ms ; SW4 ;has been pressed
63724869 ms ; SW4 ;has been pressed
63724892 ms ; SW3 ;has been pressed
63725010 ms ; SW4 ;has been pressed
63725029 ms ; SW1 ;has been pressed
63725092 ms ; SW2 ;has been pressed and the led UV has activate
63726120 ms ; SW4 ;has been pressed
63726991 ms ; SW4 ;has been pressed
63727625 ms ; SW4 ;has been pressed
63727758 ms ; SW2 ;has been pressed
63728046 ms ; SW2 ;has been pressed
63728064 ms ; SW3 ;has been pressed
63728083 ms ; SW1 ;has been pressed
63728615 ms ; SW2 ;has been pressed
63728933 ms ; SW3 ;has been pressed
63729180 ms ; SW1 ;has been pressed
63729352 ms ; SW4 ;has been pressed
63753828 ms ; SW4 ;has been pressed
63753958 ms ; SW4 ;has been pressed
63754077 ms ; SW4 ;has been pressed
63754396 ms ; SW4 ;has been pressed
63755072 ms ; SW2 ;has been pressed
63755112 ms ; SW3 ;has been pressed
63801421 ms ; SW3 ;has been pressed
63801916 ms ; SW1 ;has been pressed
63802144 ms ; SW4 ;has been pressed
63802263 ms ; SW4 ;has been pressed
63802523 ms ; SW3 ;has been pressed
63802660 ms ; SW2 ;has been pressed
63807304 ms ; SW1 ;has been pressed
63808124 ms ; SW4 ;has been pressed
63808243 ms ; SW4 ;has been pressed
63808778 ms ; SW3 ;has been pressed
63808806 ms ; SW1 ;has been pressed
63808993 ms ; SW3 ;has been pressed
63809287 ms ; SW2 ;has been pressed
63809572 ms ; SW2 ;has been pressed
63809591 ms ; SW1 ;has been pressed
63810931 ms ; SW4 ;has been pressed
63811294 ms ; SW4 ;has been pressed
63811590 ms ; SW4 ;has been pressed
63811860 ms ; SW4 ;has been pressed
63811979 ms ; SW4 ;has been pressed
63813688 ms ; SW4 ;has been pressed
63814017 ms ; SW4 ;has been pressed
63814149 ms ; SW4 ;has been pressed
63814167 ms ; SW3 ;has been pressed
63814533 ms ; SW2 ;has been pressed
63814574 ms ; SW1 ;has been pressed
63816114 ms ; SW4 ;has been pressed
63816132 ms ; SW2 ;has been pressed
63816152 ms ; SW1 ;has been pressed
63816185 ms ; SW3 ;has been pressed and the led UV has activate
63816505 ms ; SW2 ;has been pressed
63816523 ms ; SW1 ;has been pressed
63816954 ms ; SW4 ;has been pressed
63817006 ms ; SW2 ;has been pressed
63817025 ms ; SW1 ;has been pressed
63817043 ms ; SW3 ;has been pressed
63828114 ms ; SW1 ;has been pressed
63832510 ms ; SW4 ;has been pressed
63833178 ms ; SW4 ;has been pressed
63833296 ms ; SW3 ;has been pressed
63833894 ms ; SW4 ;has been pressed
63834013 ms ; SW4 ;has been pressed
63834143 ms ; SW2 ;has been pressed
65551784 ms ; SW1 ;has been pressed
65552146 ms ; SW1 ;has been pressed
65552747 ms ; SW2 ;has been pressed
65552771 ms ; SW1 ;has been pressed
65553280 ms ; SW1 ;has been pressed
65553949 ms ; SW3 ;has been pressed
65589253 ms ; SW4 ;has been pressed and the led UV has activate
65591657 ms ; SW4 ;has been pressed
65592640 ms ; SW3 ;has been pressed
65593438 ms ; SW2 ;has been pressed
65594258 ms ; SW1 ;has been pressed
65595482 ms ; SW4 ;has been pressed
65595601 ms ; SW4 ;has been pressed
65595926 ms ; SW4 ;has been pressed
65596046 ms ; SW4 ;has been pressed
65597115 ms ; SW4 ;has been pressed
65597234 ms ; SW4 ;has been pressed
65597256 ms ; SW3 ;has been pressed
65601328 ms ; SW3 ;has been pressed
65602414 ms ; SW3 ;has been pressed
65603305 ms ; SW4 ;has been pressed
65603424 ms ; SW4 ;has been pressed
65603819 ms ; SW4 ;has been pressed
65603837 ms ; SW3 ;has been pressed
65604011 ms ; SW3 ;has been pressed
65609195 ms ; SW2 ;has been pressed
65609433 ms ; SW2 ;has been pressed
65609628 ms ; SW2 ;has been pressed
65609890 ms ; SW2 ;has been pressed
65610228 ms ; SW3 ;has been pressed
65611387 ms ; SW3 ;has been pressed
65613087 ms ; SW3 ;has been pressed
65614185 ms ; SW4 ;has been pressed
65614340 ms ; SW4 ;has been pressed
65614632 ms ; SW4 ;has been pressed
65614751 ms ; SW4 ;has been pressed
65614832 ms ; SW3 ;has been pressed
65617276 ms ; SW2 ;has been pressed
65617413 ms ; SW1 ;has been pressed
65617431 ms ; SW2 ;has been pressed
65617451 ms ; SW3 ;has been pressed
65617509 ms ; SW4 ;has been pressed
65623543 ms ; SW4 ;has been pressed
65623736 ms ; SW4 ;has been pressed
65623855 ms ; SW4 ;has been pressed
65624428 ms ; SW3 ;has been pressed
65626073 ms ; SW1 ;has been pressed
65626374 ms ; SW1 ;has been pressed
65630004 ms ; SW4 ;has been pressed
65630249 ms ; SW4 ;has been pressed
65630454 ms ; SW4 ;has been pressed
65630575 ms ; SW4 ;has been pressed
65630959 ms ; SW4 ;has been pressed
65631254 ms ; SW4 ;has been pressed
65631373 ms ; SW4 ;has been pressed
65631691 ms ; SW3 ;has been pressed
