417 ms ; init
398 ms ; init
677693 ms ; SW2 ;has been pressed
677953 ms ; SW2 ;has been pressed
678072 ms ; SW2 ;has been pressed
678191 ms ; SW2 ;has been pressed
678635 ms ; SW1 ;has been pressed and the led UV has activate
679624 ms ; SW1 ;has been pressed
1043847 ms ; SW3 ;has been pressed
18000431 ms ; 5 hours have passed
36000449 ms ; 5 hours have passed
397 ms ; init
635807 ms ; SW1 ;has been pressed and the led UV has activate
397 ms ; init
3724172 ms ; SW4 ;has been pressed
3724559 ms ; SW3 ;has been pressed
3725957 ms ; SW2 ;has been pressed
3726316 ms ; SW2 ;has been pressed
3726334 ms ; SW3 ;has been pressed
3726354 ms ; SW1 ;has been pressed and the led UV has activate
3726627 ms ; SW3 ;has been pressed
3726747 ms ; SW4 ;has been pressed
3727337 ms ; SW2 ;has been pressed
3727456 ms ; SW2 ;has been pressed
3727475 ms ; SW1 ;has been pressed
3727778 ms ; SW2 ;has been pressed
3727901 ms ; SW2 ;has been pressed
3728143 ms ; SW1 ;has been pressed
3728506 ms ; SW2 ;has been pressed
3728742 ms ; SW4 ;has been pressed
3728943 ms ; SW4 ;has been pressed
3729061 ms ; SW2 ;has been pressed
3729648 ms ; SW3 ;has been pressed
3729767 ms ; SW1 ;has been pressed
3732466 ms ; SW4 ;has been pressed
3733148 ms ; SW4 ;has been pressed
3733267 ms ; SW4 ;has been pressed
3733603 ms ; SW3 ;has been pressed
3733621 ms ; SW1 ;has been pressed
3733640 ms ; SW4 ;has been pressed
3733961 ms ; SW2 ;has been pressed
3734112 ms ; SW2 ;has been pressed
4222280 ms ; SW1 ;has been pressed
4222334 ms ; SW2 ;has been pressed and the led UV has activate
4222554 ms ; SW2 ;has been pressed
6399430 ms ; SW2 ;has been pressed
6399652 ms ; SW2 ;has been pressed
6400312 ms ; SW1 ;has been pressed
6400821 ms ; SW2 ;has been pressed
6400975 ms ; SW2 ;has been pressed
6401094 ms ; SW2 ;has been pressed
6402273 ms ; SW3 ;has been pressed and the led UV has activate
6402752 ms ; SW4 ;has been pressed
6402871 ms ; SW4 ;has been pressed
6598752 ms ; SW4 ;has been pressed and the led UV has activate
6601697 ms ; SW4 ;has been pressed
6601816 ms ; SW4 ;has been pressed
6602149 ms ; SW4 ;has been pressed
6602338 ms ; SW4 ;has been pressed
6604989 ms ; SW3 ;has been pressed
6606764 ms ; SW2 ;has been pressed
6606892 ms ; SW2 ;has been pressed
6607080 ms ; SW2 ;has been pressed
6607213 ms ; SW2 ;has been pressed
6607589 ms ; SW1 ;has been pressed
6607854 ms ; SW1 ;has been pressed
6608905 ms ; SW1 ;has been pressed
6608995 ms ; SW2 ;has been pressed
6609997 ms ; SW2 ;has been pressed
6610567 ms ; SW3 ;has been pressed
6610741 ms ; SW4 ;has been pressed
6610957 ms ; SW4 ;has been pressed
6622472 ms ; SW1 ;has been pressed
6622999 ms ; SW1 ;has been pressed
6623821 ms ; SW1 ;has been pressed
6789379 ms ; SW4 ;has been pressed
6789785 ms ; SW4 ;has been pressed
6790320 ms ; SW3 ;has been pressed
6790679 ms ; SW1 ;has been pressed and the led UV has activate
6790898 ms ; SW1 ;has been pressed
6790917 ms ; SW3 ;has been pressed
6791074 ms ; SW3 ;has been pressed
6791217 ms ; SW2 ;has been pressed
6791465 ms ; SW2 ;has been pressed
6791529 ms ; SW3 ;has been pressed
6791954 ms ; SW3 ;has been pressed
6792015 ms ; SW1 ;has been pressed
6792838 ms ; SW1 ;has been pressed
6792857 ms ; SW3 ;has been pressed
6793303 ms ; SW2 ;has been pressed
6794073 ms ; SW3 ;has been pressed
6799685 ms ; SW1 ;has been pressed
6799967 ms ; SW3 ;has been pressed
6800143 ms ; SW1 ;has been pressed
6800304 ms ; SW4 ;has been pressed
6800433 ms ; SW2 ;has been pressed
6800644 ms ; SW2 ;has been pressed
6800766 ms ; SW1 ;has been pressed
6801200 ms ; SW2 ;has been pressed
6801518 ms ; SW4 ;has been pressed
6802013 ms ; SW2 ;has been pressed
6802169 ms ; SW2 ;has been pressed
6802305 ms ; SW4 ;has been pressed
6802334 ms ; SW1 ;has been pressed
6802353 ms ; SW2 ;has been pressed
6802372 ms ; SW3 ;has been pressed
7035951 ms ; SW3 ;has been pressed
7036459 ms ; SW3 ;has been pressed
