12 ms ; SD card successfully initialized.
33 ms ; Init
10 ms ; SD card successfully initialized.
25 ms ; Init
198 ms ; SD card successfully initialized.
214 ms ; Init
206 ms ; SD card successfully initialized.
222 ms ; Init
287 ms ; Button pressed (no action triggered)
202 ms ; SD card successfully initialized.
218 ms ; Init
283 ms ; Button pressed (no action triggered)
203 ms ; SD card successfully initialized.
219 ms ; Init
284 ms ; Button pressed (no action triggered)
205 ms ; SD card successfully initialized.
223 ms ; Init
288 ms ; Button pressed (no action triggered)
206 ms ; SD card successfully initialized.
222 ms ; Init
287 ms ; Button pressed (no action triggered)
208 ms ; SD card successfully initialized.
224 ms ; Init
289 ms ; Button pressed (no action triggered)
209 ms ; SD card successfully initialized.
225 ms ; Init
290 ms ; Button pressed (no action triggered)
211 ms ; SD card successfully initialized.
227 ms ; Init
291 ms ; Button pressed (no action triggered)
212 ms ; SD card successfully initialized.
231 ms ; Init
295 ms ; Button pressed (no action triggered)
10 ms ; SD card successfully initialized.
25 ms ; Init
216 ms ; SD card successfully initialized.
231 ms ; Init
295 ms ; Button pressed (no action triggered)
216 ms ; SD card successfully initialized.
231 ms ; Init
296 ms ; Button pressed (no action triggered)
219 ms ; SD card successfully initialized.
234 ms ; Init
300 ms ; Button pressed (no action triggered)
219 ms ; SD card successfully initialized.
237 ms ; Init
302 ms ; Button pressed (no action triggered)
222 ms ; SD card successfully initialized.
237 ms ; Init
303 ms ; Button pressed (no action triggered)
223 ms ; SD card successfully initialized.
239 ms ; Init
304 ms ; Button pressed (no action triggered)
229 ms ; SD card successfully initialized.
244 ms ; Init
225 ms ; SD card successfully initialized.
241 ms ; Init
306 ms ; Button pressed (no action triggered)
227 ms ; SD card successfully initialized.
242 ms ; Init
308 ms ; Button pressed (no action triggered)
229 ms ; SD card successfully initialized.
244 ms ; Init
310 ms ; Button pressed (no action triggered)
230 ms ; SD card successfully initialized.
246 ms ; Init
311 ms ; Button pressed (no action triggered)
232 ms ; SD card successfully initialized.
247 ms ; Init
313 ms ; Button pressed (no action triggered)
233 ms ; SD card successfully initialized.
248 ms ; Init
314 ms ; Button pressed (no action triggered)
236 ms ; SD card successfully initialized.
251 ms ; Init
319 ms ; Button pressed (no action triggered)
237 ms ; SD card successfully initialized.
252 ms ; Init
318 ms ; Button pressed (no action triggered)
164 ms ; SD card successfully initialized.
180 ms ; Init
245 ms ; Button pressed (no action triggered)
167 ms ; SD card successfully initialized.
183 ms ; Init
247 ms ; Button pressed (no action triggered)
168 ms ; SD card successfully initialized.
184 ms ; Init
248 ms ; Button pressed (no action triggered)
168 ms ; SD card successfully initialized.
187 ms ; Init
252 ms ; Button pressed (no action triggered)
172 ms ; SD card successfully initialized.
187 ms ; Init
252 ms ; Button pressed (no action triggered)
174 ms ; SD card successfully initialized.
