162 ms ; init
160 ms ; init
226 ms ; Button pressed (no action triggered)
2732325 ms ; Button pressed - Motor activated
2736477 ms ; Motor stopped - Micro switch triggered
2736532 ms ; Button pressed (no action triggered)
2742714 ms ; Button pressed (no action triggered)
2746905 ms ; Button pressed (no action triggered)
2748771 ms ; Button pressed (no action triggered)
2752569 ms ; Button pressed (no action triggered)
2757579 ms ; Button pressed (no action triggered)
6062062 ms ; Button pressed - Motor activated
6066162 ms ; Motor stopped - Micro switch triggered
6072042 ms ; Button pressed (no action triggered)
6078203 ms ; Button pressed (no action triggered)
6078493 ms ; Button pressed (no action triggered)
6089758 ms ; Button pressed (no action triggered)
6091638 ms ; Button pressed (no action triggered)
6094362 ms ; Button pressed (no action triggered)
7118854 ms ; Button pressed - Motor activated
7123011 ms ; Motor stopped - Micro switch triggered
7139718 ms ; Button pressed (no action triggered)
7151554 ms ; Button pressed (no action triggered)
9637997 ms ; Button pressed - Motor activated
9642133 ms ; Motor stopped - Micro switch triggered
9650718 ms ; Button pressed (no action triggered)
9987358 ms ; Button pressed - Motor activated
9988731 ms ; Button pressed (while motor running)
9990896 ms ; Button pressed (while motor running)
9991485 ms ; Motor stopped - Micro switch triggered
9993553 ms ; Button pressed (no action triggered)
9996054 ms ; Button pressed (no action triggered)
10002130 ms ; Button pressed (no action triggered)
10004614 ms ; Button pressed (no action triggered)
10007071 ms ; Button pressed (no action triggered)
10009197 ms ; Button pressed (no action triggered)
10020380 ms ; Button pressed (no action triggered)
10020611 ms ; Button pressed (no action triggered)
10020837 ms ; Button pressed (no action triggered)
10021097 ms ; Button pressed (no action triggered)
10021332 ms ; Button pressed (no action triggered)
10021745 ms ; Button pressed - Motor activated
10025846 ms ; Motor stopped - Micro switch triggered
10026399 ms ; Button pressed (no action triggered)
10026615 ms ; Button pressed (no action triggered)
10026829 ms ; Button pressed (no action triggered)
10027032 ms ; Button pressed (no action triggered)
10027194 ms ; Button pressed (no action triggered)
10027417 ms ; Button pressed (no action triggered)
10027623 ms ; Button pressed (no action triggered)
10027795 ms ; Button pressed (no action triggered)
10028040 ms ; Button pressed (no action triggered)
10117762 ms ; Button pressed - Motor activated
10121842 ms ; Motor stopped - Micro switch triggered
10122487 ms ; Button pressed (no action triggered)
10467800 ms ; Button pressed - Motor activated
10471922 ms ; Motor stopped - Micro switch triggered
10473350 ms ; Button pressed (no action triggered)
10493844 ms ; Button pressed (no action triggered)
10494026 ms ; Button pressed (no action triggered)
10494286 ms ; Button pressed (no action triggered)
10494536 ms ; Button pressed (no action triggered)
10494793 ms ; Button pressed (no action triggered)
