13 ms ; init
113 ms ; init
179 ms ; Button pressed (no action triggered)
114 ms ; init
180 ms ; Button pressed (no action triggered)
1071874 ms ; Button pressed - Motor activated
1075995 ms ; Motor stopped - Micro switch triggered
18000130 ms ; 5 hours have passed
36000145 ms ; 5 hours have passed
117 ms ; init
183 ms ; Button pressed (no action triggered)
813348 ms ; Button pressed - Motor activated
817496 ms ; Motor stopped - Micro switch triggered
122 ms ; init
188 ms ; Button pressed (no action triggered)
3792574 ms ; Button pressed - Motor activated
3795293 ms ; Button pressed (while motor running)
3795553 ms ; Button pressed (while motor running)
3795792 ms ; Button pressed (while motor running)
3795986 ms ; Button pressed (while motor running)
3796740 ms ; Motor stopped - Micro switch triggered
3798499 ms ; Button pressed (no action triggered)
3799357 ms ; Button pressed (no action triggered)
3799582 ms ; Button pressed (no action triggered)
3799827 ms ; Button pressed (no action triggered)
3800217 ms ; Button pressed (no action triggered)
3800690 ms ; Button pressed (no action triggered)
3801049 ms ; Button pressed (no action triggered)
3801651 ms ; Button pressed (no action triggered)
3802489 ms ; Button pressed (no action triggered)
3803146 ms ; Button pressed (no action triggered)
3803594 ms ; Button pressed (no action triggered)
3803896 ms ; Button pressed (no action triggered)
3804181 ms ; Button pressed (no action triggered)
3804762 ms ; Button pressed (no action triggered)
4052915 ms ; Button pressed - Motor activated
4057053 ms ; Motor stopped - Micro switch triggered
6160176 ms ; Button pressed - Motor activated
6164323 ms ; Motor stopped - Micro switch triggered
6165431 ms ; Button pressed (no action triggered)
6419204 ms ; Button pressed - Motor activated
6423357 ms ; Motor stopped - Micro switch triggered
6423864 ms ; Button pressed (no action triggered)
6426537 ms ; Button pressed (no action triggered)
6428976 ms ; Button pressed (no action triggered)
6437222 ms ; Button pressed (no action triggered)
6438755 ms ; Button pressed (no action triggered)
6439785 ms ; Button pressed (no action triggered)
6440871 ms ; Button pressed (no action triggered)
6441893 ms ; Button pressed (no action triggered)
6442850 ms ; Button pressed (no action triggered)
6443266 ms ; Button pressed (no action triggered)
6443517 ms ; Button pressed (no action triggered)
6443685 ms ; Button pressed (no action triggered)
6460943 ms ; Button pressed - Motor activated
6465026 ms ; Motor stopped - Micro switch triggered
6531703 ms ; Button pressed - Motor activated
6535803 ms ; Motor stopped - Micro switch triggered
6558365 ms ; Button pressed (no action triggered)
6607659 ms ; Button pressed - Motor activated
6608917 ms ; Button pressed (while motor running)
6611755 ms ; Motor stopped - Micro switch triggered
6614146 ms ; Button pressed (no action triggered)
6614489 ms ; Button pressed (no action triggered)
6615824 ms ; Button pressed (no action triggered)
6638629 ms ; Button pressed (no action triggered)
6647298 ms ; Button pressed - Motor activated
6651338 ms ; Motor stopped - Micro switch triggered
6654183 ms ; Button pressed (no action triggered)
6661445 ms ; Button pressed (no action triggered)
6948153 ms ; Button pressed - Motor activated
6950930 ms ; Button pressed (while motor running)
6952250 ms ; Motor stopped - Micro switch triggered
6952475 ms ; Button pressed (no action triggered)
6953163 ms ; Button pressed (no action triggered)
7505909 ms ; Button pressed - Motor activated
7507388 ms ; Button pressed (while motor running)
7509285 ms ; Button pressed (while motor running)
7510014 ms ; Motor stopped - Micro switch triggered
7510454 ms ; Button pressed (no action triggered)
7512291 ms ; Button pressed (no action triggered)
7512970 ms ; Button pressed (no action triggered)
7513291 ms ; Button pressed (no action triggered)
7513702 ms ; Button pressed (no action triggered)
7514533 ms ; Button pressed (no action triggered)
7518951 ms ; Button pressed (no action triggered)
7519348 ms ; Button pressed (no action triggered)
7519501 ms ; Button pressed (no action triggered)
7519777 ms ; Button pressed (no action triggered)
7520685 ms ; Button pressed (no action triggered)
7521312 ms ; Button pressed (no action triggered)
7522780 ms ; Button pressed (no action triggered)
8228381 ms ; Button pressed - Motor activated
8232491 ms ; Motor stopped - Micro switch triggered
8753571 ms ; Button pressed - Motor activated
8755872 ms ; Button pressed (while motor running)
8757734 ms ; Motor stopped - Micro switch triggered
14695482 ms ; Button pressed - Motor activated
14699601 ms ; Motor stopped - Micro switch triggered
15005887 ms ; Button pressed - Motor activated
15008070 ms ; Button pressed (while motor running)
15010032 ms ; Motor stopped - Micro switch triggered
15011442 ms ; Button pressed (no action triggered)
15011747 ms ; Button pressed (no action triggered)
15012084 ms ; Button pressed (no action triggered)
15016189 ms ; Button pressed (no action triggered)
15493884 ms ; Button pressed - Motor activated
15495016 ms ; Button pressed (while motor running)
15495387 ms ; Button pressed (while motor running)
15495806 ms ; Button pressed (while motor running)
15496303 ms ; Button pressed (while motor running)
15496734 ms ; Button pressed (while motor running)
15497148 ms ; Button pressed (while motor running)
15497523 ms ; Button pressed (while motor running)
15497901 ms ; Button pressed (while motor running)
15498086 ms ; Motor stopped - Micro switch triggered
15498280 ms ; Button pressed (no action triggered)
15498642 ms ; Button pressed (no action triggered)
15499044 ms ; Button pressed (no action triggered)
15499462 ms ; Button pressed (no action triggered)
15499859 ms ; Button pressed (no action triggered)
15500311 ms ; Button pressed (no action triggered)
15500716 ms ; Button pressed (no action triggered)
15501095 ms ; Button pressed (no action triggered)
15501468 ms ; Button pressed (no action triggered)
15501871 ms ; Button pressed (no action triggered)
15502244 ms ; Button pressed (no action triggered)
15502633 ms ; Button pressed (no action triggered)
15503078 ms ; Button pressed (no action triggered)
15503438 ms ; Button pressed (no action triggered)
15505853 ms ; Button pressed (no action triggered)
15506304 ms ; Button pressed (no action triggered)
15506779 ms ; Button pressed (no action triggered)
15507240 ms ; Button pressed (no action triggered)
15507732 ms ; Button pressed (no action triggered)
15508290 ms ; Button pressed (no action triggered)
15508921 ms ; Button pressed (no action triggered)
15509549 ms ; Button pressed (no action triggered)
15510260 ms ; Button pressed (no action triggered)
15510709 ms ; Button pressed (no action triggered)
15691779 ms ; Button pressed - Motor activated
15695892 ms ; Motor stopped - Micro switch triggered
16864913 ms ; Button pressed - Motor activated
16869067 ms ; Motor stopped - Micro switch triggered
16877995 ms ; Button pressed (no action triggered)
16878903 ms ; Button pressed (no action triggered)
16879358 ms ; Button pressed (no action triggered)
16879770 ms ; Button pressed (no action triggered)
16885733 ms ; Button pressed (no action triggered)
16889660 ms ; Button pressed (no action triggered)
16889899 ms ; Button pressed (no action triggered)
16902294 ms ; Button pressed - Motor activated
16904190 ms ; Button pressed (while motor running)
16906414 ms ; Motor stopped - Micro switch triggered
17376030 ms ; Button pressed - Motor activated
17380189 ms ; Motor stopped - Micro switch triggered
17384064 ms ; Button pressed (no action triggered)
17384350 ms ; Button pressed (no action triggered)
17384625 ms ; Button pressed (no action triggered)
